py,ch,en
kuān,宽,"lenient / wide / broad
lenient / wide / broad"
kuǎn,款,"section / paragraph / funds
section / paragraph / funds / CL:筆|笔[bi3],個|个[ge4] / classifier for versions or models (of a product)"
kuāng,诓,"mislead / to swindle
to mislead / to swindle"
kuāng,匡,"correct
to rectify"
kuāng,筐,"basket
basket / CL:隻|只[zhi1]"
kuáng,狂,"conceited / mad
mad / wild / violent"
kuáng,诳,"deceive / lies
to deceive / lies"
kuàng,邝,"(surname)
surname Kuang"
kuàng,旷,"waste / wilderness
to neglect / to skip (class or work) / to waste (time) / vast / loose-fitting"
kuàng,矿,"ore / mine
variant of 礦|矿[kuang4]"
kuàng,圹,"tomb
tomb"
kuàng,眶,"eye socket
eye socket"
kuàng,纩,"fine floss-silk or cotton
fine floss-silk or cotton"
kuàng,框,"frame / door frame
frame (e.g. door frame) / casing / fig. framework / template / to circle (i.e. draw a circle around sth) / to frame / to restrict / Taiwan pr. [kuang1]"
kuàng,况,"moreover / situation
moreover / situation"
kuàng,贶,"bestow / confer
to bestow / to confer"
kūi,盔,"helmet
helmet"
kūi,窥,"peep / pry into
variant of 窺|窥[kui1]"
kūi,岿,"high and mighty (of mountain) / hilly
high and mighty (of mountain) / hilly"
yú,亏,"deficiency / deficit
deficiency / deficit / luckily / it's lucky that... / (often ironically) fancy that..."
kūi,悝,"laugh at, sad
worried / afflicted"
kúi,逵,"crossroads / thoroughfare
crossroads / thoroughfare"
kúi,魁,"chief / head
chief / head / outstanding / exceptional / stalwart"
kúi,葵,"sunflower
sunflower"
kúi,奎,"name of constellation / stride
crotch / 15th of the 28th constellations of Chinese astronomy"
kúi,睽,"separated / stare
separated / stare"
kúi,夔,"one-legged monster / respectful
one-legged mountain demon of Chinese mythology / Chinese mythical figure who invented music and dancing / Chinese rain god / surname Kui"
kúi,暌,"in opposition to / separated from
in opposition to / separated from"
kúi,揆,"consider / estimate
consider / estimate"
kúi,馗,"cheekbone / crossroads / high
cheekbone / crossroads / high"
kǔi,跬,"brief / short step
brief / short step"
kùi,馈,"food / make a present
food / to make a present"
kùi,愧,"ashamed
ashamed"
kùi,蒉,"(surname) / Amaranthus mangostanus
Amaranthus mangostanus"
kùi,聩,"born deaf / deaf
born deaf / deaf / obtuse"
gùi,匮,"(surname) / lacking / empty / exhausted
to lack / lacking / empty / exhausted"
kùi,篑,"basket for carrying soil
basket for carrying soil"
kùi,喟,"to sigh
to sigh"
kùi,溃,"be dispersed / break down
to be dispersed / to break down / to fester / to ulcerate"
kùi,愦,"confused / troubled
confused / troubled"
kūn,昆,"Kunlun mountains, descendant / elder brother
descendant / elder brother / a style of Chinese poetry"
kūn,髡,"make the head bald
scalping / to make the head bald (as corporal punishment)"
kūn,锟,"steel sword
steel sword"
kūn,琨,"(jade)
(jade)"
kūn,鲲,"sea-monster / young of fishes
fry (newly hatched fish) / legendary giant fish that could transform into a giant bird 鵬|鹏[Peng2]"
kūn,坤,"the earth- / female-principle
variant of 坤[kun1]"
kǔn,捆,"a bunch / tie together / bundle
variant of 捆[kun3]"
kǔn,悃,"sincere
sincere"
kǔn,阃,"door to women's room / threshold
threshold / inner appartments / woman / wife (honorific)"
kùn,困,"a bunch / tie together, distress / sleepy / doze off, sleepy / doze off
sleepy / tired"
kuò,廓,"big / empty / open
big / empty / open"
kuò,括,"enclose / include
to enclose / to include / also pr. [gua1]"
kuò,扩,"enlarge
enlarge"
kuò,阔,"rich / wide / broad
rich / wide / broad"
lán,蓝,"kohlrabi, blue
blue / indigo plant"
lā,拉,"to pull / to play (string instruments) / to drag / to draw
to pull / to play (a bowed instrument) / to drag / to draw / to chat"
la,啦,"(onomat.) / (phonetic), (an auxiliary word performing the grammatical functions of mood) / fusion of le + a
sentence-final particle, contraction of 了啊, indicating exclamation / particle placed after each item in a list of examples"
lǎ,喇,"(onomat.), (phonetic)
(phonetic)"
là,剌,"to slash, cruel / obstinate
perverse / unreasonable / absurd"
là,腊,"preserved (meat), December / preserved (meat)
12th lunar month / preserved (meat, fish etc)"
là,辣,"hot (spicy) / pungent
hot (spicy) / pungent"
là,瘌,"scabies / scald-head
scabies / scald-head"
là,蜡,"candle / wax
candle / wax"
luò,落,"leave behind, alight / to fall / to drop (behind)
to fall or drop / (of the sun) to set / (of a tide) to go out / to lower / to decline or sink / to lag or fall behind / to fall onto / to rest with / to get or receive / to write down / whereabouts / settlement"
lái,徕,"to come
see 招徠|招徕[zhao1 lai2]"
lái,涞,"brook / ripple
brook / ripple"
lái,莱,"Chenopodium album
name of weed plant (fat hen, goosefoot, pigweed etc) / Chenopodium album"
lái,崃,"name of a mountain in Sichuan
name of a mountain in Sichuan"
lái,铼,"rhenium
rhenium (chemistry)"
lái,来,"to come
to come / to arrive / to come round / ever since / next"
lài,濑,"name of a river / rushing of water
name of a river / rushing of water"
lài,赖,"disclaim / rely / to blame
variant of 賴|赖[lai4]"
lài,睐,"gaze / stare
to glance / to look askance at"
lài,赉,"bestow / confer
to bestow / to confer"
lài,籁,"music / musical pipe with 3 reeds
a sound / a noise / musical pipe with 3 reeds"
lài,癞,"scabies / skin disease
scabies / skin disease"
lán,兰,"orchid
orchid (蘭花|兰花 Cymbidium goeringii) / fragrant thoroughwort (蘭草|兰草 Eupatorium fortunei) / lily magnolia (木蘭|木兰)"
lán,拦,"cut off / hinder
to block sb's path / to obstruct / to flag down (a taxi)"
lán,篮,"basket / goal
basket / goal"
lán,婪,"avaricious
old variant of 婪[lan2]"
lán,岚,"mist / name of a mountain
mist / name of a mountain"
lán,栏,"fence / railing / hurdle
fence / railing / hurdle / column or box (of text or other data)"
lán,斓,"variegated / parti-colored
see 斑斕|斑斓[ban1 lan2]"
lán,阑,"door-screen / exhausted / late
railing / balustrade / door-screen / exhausted / late"
lán,澜,"swelling water
swelling water"
lán,谰,"make a false charge
to make a false charge"
bǎo,褴,"ragged garments
ragged garments"
làn,镧,"lanthanum
lanthanum (chemistry)"
lǎn,榄,"olive
olive"
lǎn,懒,"lazy
lazy"
lǎn,揽,"monopolize / seize
to monopolize / to seize / to take into one's arms / to embrace / to fasten (with a rope etc) / to take on (responsibility etc) / to canvass"
lǎn,览,"look over / to view
to look at / to view / to read"
làn,滥,"excessive / indiscriminate
overflowing / excessive / indiscriminate"
làn,烂,"overcooked / rotten / soft
soft / mushy / well-cooked and soft / to rot / to decompose / rotten / worn out / chaotic / messy / utterly / thoroughly / crappy / bad"
làn,缆,"cable / hawser
cable / hawser / to moor"
láng,狼,"wolf
wolf / CL:匹[pi3],隻|只[zhi1],條|条[tiao2]"
láng,廊,"porch
corridor / veranda / porch"
láng,螂,"dragonfly / mantis
dragonfly / mantis"
láng,琅,"(gem) / tinkling of pendants
(gem) / tinkling of pendants"
láng,锒,"chain / ornament
chain / ornament"
láng,榔,"(tree)
tall tree (archaic)"
láng,郎,"(surname) / a youth
(arch.) minister / official / noun prefix denoting function or status / a youth"
lǎng,朗,"clear / bright
clear / bright"
làng,蒗,"(herb) / place name
(herb) / place name"
làng,浪,"wave / breaker / unrestrained / dissipated
wave / breaker / unrestrained / dissipated"
láng,莨,"Scopalia japonica maxin
Scopalia japonica maxin"
lāo,捞,"fish up
to fish up / to dredge up"
láo,醪,"wine or liquor with sediment
wine or liquor with sediment"
láo,崂,"name of a mountain in Shandong
name of a mountain in Shandong"
láo,牢,"firm / fast
firm / sturdy / fold (for animals) / sacrifice / prison"
láo,劳,"toil
to console"
láo,痨,"tuberculosis
tuberculosis"
láo,唠,"to chatter
to gossip / to chat (dialect)"
lǎo,栳,"basket
basket"
lǎo,老,"(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity) / old (of people)
prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity / old (of people) / venerable (person) / experienced / of long standing / always / all the time / of the past / very / outdated / (of meat etc) tough"
lǎo,铑,"rhodium
rhodium (chemistry)"
lǎo,佬,"male / man (Cantonese)
male / man (Cantonese)"
lǎo,潦,"flooded / heavy rain
flooded / heavy rain"
mǔ,姥,"grandma (maternal), governess / old woman
governess / old woman"
luò,烙,"bake / flat iron / large cake
to brand / to iron / to bake (in a pan)"
lào,酪,"Chinese cream / cheese
curdled milk or fruit juice / also pr. [luo4]"
lào,涝,"flooded
flooded"
luò,络,"small net, net-like
net-like object / to hold sth in place with a net / to wind / to twist / (TCM) channels in the human body"
le,了,"(modal particle intensifying preceding clause) / (completed action marker), to know / to understand / to know, clear, look afar from a high place
unofficial variant of 瞭[liao4]"
lè,仂,"surplus / tithe
surplus / tithe"
lè,鳓,"(shad) / spermary of fish
Chinese herring (Ilisha elongata) / white herring / slender shad"
lè,泐,"write
to write"
lè,叻,"place names
(used in place names)"
lè,勒,"rein in, strangle
to strap tightly / to bind"
lè,乐,"(surname) / happy / laugh / cheerful, (surname) / music
music"
léi,雷,"(surname) / thunder
thunder / mine (weapon) / (Internet slang) terrifying / terrific"
léi,镭,"radium
radium (chemistry)"
léi,嫘,"(surname)
surname Lei"
léi,檑,"logs rolled down in defense of city
logs rolled down in defense of city"
léi,羸,"entangled / lean
entangled / lean"
léi,缧,"bind / bond
bind / bond"
lèi,累,"cumbersome, accumulate, implicate / tired
rope / to bind together / to twist around"
léi,擂,"beat / to grind, beat (a drum)
to beat (a drum)"
lěi,磊,"lumpy / rock pile / uneven
lumpy / rock pile / uneven / fig. sincere / open and honest"
lěi,垒,"rampart
rampart / base (in baseball) / to build with stones, bricks etc"
lěi,蕾,"bud
bud"
lěi,耒,"plough
plow"
lěi,诔,"eulogize the dead / eulogy
to eulogize the dead / eulogy"
lěi,儡,"injure / puppet
to injure / puppet"
lèi,肋,"rib
rib / Taiwan pr. [le4]"
lèi,泪,"tears
tears"
lèi,酹,"pour out libation / sprinkle
pour out libation / sprinkle"
lèi,类,"kind / type / class / category / similar / like / to resemble
kind / type / class / category / similar / like / to resemble"
lèi,埒,"enclosure, dike, embankment
(literary) equal / enclosure / dike / embankment / Taiwan pr. [le4]"
léng,楞,"corner / square beam
variant of 愣[leng4] / to look distracted / to stare blankly / distracted / blank"
léng,棱,"corner / square beam
corner / edge / arris (sharp ridge formed by two surfaces meeting at an edge) / protrusion"
lěng,冷,"cold
cold"
lèng,愣,"to look distracted / to stare blankly / distracted / stupefied / blank
to look distracted / to stare blankly / distracted / blank / (coll.) unexpectedly / rash / rashly"
lī,哩,"(onomat.), mile, (part. for continued state)
(modal final particle similar to 呢[ne5] or 啦[la5])"
lí,骊,"black horse / good horse
black horse / jet steed / good horse / legendary black dragon"
lí,鹂,"Chinese oriole
Chinese oriole"
lí,漓,"pattering (of rain) / seep through
to seep through"
lí,狸,"(dog) / wild cat
variant of 狸[li2]"
lí,梨,"pear
pear / CL:個|个[ge4]"
lí,厘,"one thousandth
one hundredth / centi-"
lí,离,"to leave / to depart / to go away / from
to leave / to part from / to be away from / (in giving distances) from / without (sth) / independent of / one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire / ☲"
lí,藜,"Chenopodium album
name of weed plant (fat hen, goosefoot, pigweed etc) / Chenopodium album"
lí,蜊,"clam
clam"
lí,犁,"plow
plow"
lí,篱,"a fence
a fence"
lí,缡,"bridal veil or kerchief
bridal veil or kerchief"
lí,璃,"colored glaze / glass
variant of 璃[li2]"
lí,嫠,"widow
widow"
lí,罹,"happen to / sorrow / suffer from
happen to / sorrow / suffer from"
lí,黎,"(surname) / black / abbreviation for Lebanon
black"
lí,黧,"dark / sallow color
dark / sallow color"
lí,蓠,"Gracilaria confervoides
red algae / Gracilaria, several species, some edible / Japanese ogonori / arch. used for vanilla-like herb"
lí,喱,"grain weight
grain weight"
lǐ,蠡,"calabash, wood-boring insect
wood-boring insect"
lì,丽,"Korea, beautiful
beautiful"
lǐ,锂,"lithium
lithium (chemistry)"
lǐ,李,"(a surname) / plum
plum"
lǐ,娌,"husband's brother's wife
see 妯娌[zhou2 li5]"
lǐ,鳢,"snakefish
snakefish / snakehead mullet"
lǐ,礼,"gift / propriety / rite
gift / rite / ceremony / CL:份[fen4] / propriety / etiquette / courtesy"
lǐ,里,"inside / internal / interior, village / within / inside, Chinese mile / neighborhood / li, a Chinese unit of length = one-half kilometer / hometown
li, ancient measure of length, approx. 500 m / neighborhood / ancient administrative unit of 25 families / (Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels"
lǐ,逦,"winding
winding"
lǐ,俚,"rustic
rustic / vulgar / unrefined / abbr. for 俚語|俚语[li3 yu3], slang"
lǐ,醴,"sweet wine
sweet wine"
lǐ,理,"reason / logic / science / inner principle or structure
texture / grain (of wood) / inner essence / intrinsic order / reason / logic / truth / science / natural science (esp. physics) / to manage / to pay attention to / to run (affairs) / to handle / to put in order / to tidy up"
lǐ,鲤,"carp
carp"
lǐ,澧,"(surname) / name of a river
Lishui River in north Hunan, flowing into Lake Dongting 洞庭湖 / surname Li"
lì,砺,"grind / sandstone
grind / sandstone"
lì,呖,"sound of splitting / cracking
sound of splitting / cracking"
lì,痢,"dysentery
dysentery"
lì,俪,"husband and wife
husband and wife"
lì,栗,"afraid / trembling, (surname) / chestnut
chestnut"
lì,溧,"name of a river
name of a river"
lì,篥,"bamboos good for poles / horn
bamboos good for poles / horn"
lì,笠,"bamboo rain hat
bamboo rain hat"
lì,苈,"Drabanemerosa hebecarpa
Drabanemerosa hebecarpa"
lì,厉,"severe
strict / severe"
lì,疠,"sore caused by varnish poisoning
ulcer / plague"
lì,枥,"stable
type of oak / stable (for horses)"
lì,跞,"move / walk
move / walk"
lì,莉,"jasmine
jasmine"
lì,例,"example / precedent / rule / case / instance
example / precedent / rule / case / instance"
lì,励,"exhort
to encourage / to urge"
lì,砾,"gravel / small stone
gravel / small stone"
lì,历,"calendar, to experience / to undergo / to pass through / all / each / every / calendar
to experience / to undergo / to pass through / all / each / every / history"
lì,荔,"litchi
litchi"
lì,郦,"(surname) / ancient place name
surname Li / ancient place name"
lì,力,"power / force / strength
power / force / strength / ability / strenuously"
lì,蛎,"oyster
oyster"
lì,雳,"clap of thunder
clap of thunder"
lì,唳,"cry of a crane or wild goose
cry of a crane or wild goose"
lì,吏,"minor official
minor government official or functionary (old)"
lì,轹,"to bully / wheel-rut
to bully / wheel-rut"
lì,粒,"a grain / a granule
grain / granule / classifier for small round things (peas, bullets, peanuts, pills, grains etc)"
lì,沥,"drip
to drip / to strain or filter / a trickle"
lì,俐,"clever
clever"
lì,隶,"attached to / scribe
attached to / scribe"
lì,莅,"attend (official functions)
to attend (an official function) / to be present / to administer / to approach (esp. as administrator)"
lì,利,"advantage / benefit / profit / sharp
sharp / favorable / advantage / benefit / profit / interest / to do good to / to benefit"
lì,猁,"a kind of monkey
a kind of monkey"
lì,詈,"curse / scold
to curse / to scold"
lì,栎,"oak / Quercus serrata
oak / Quercus serrata"
lì,戾,"do violence / go against
to bend / to violate / to go against / ruthless and tyrannical"
lì,立,"set up / to stand
to stand / to set up / to establish / to lay down / to draw up / at once / immediately"
liǎ,俩,"(a numeral-measure word) two / both, craft / cunning
two (colloquial equivalent of 兩個|两个) / both / some"
lián,奁,"bridal trousseau
old variant of 奩|奁[lian2]"
lián,鲢,"Hypophthalmichthys moritrix
Hypophthalmichthys moritrix"
lián,镰,"scythe / sickle
scythe / sickle"
lián,联,"to ally / to unite / to join
to ally / to unite / to join / (poetry) antithetical couplet"
lián,蠊,"cockroach
cockroach"
lián,廉,"incorrupt / inexpensive
incorruptible / honest / inexpensive / to investigate (old) / side wall of a traditional Chinese house (old)"
lián,裢,"pouch hung from belt
pouch hung from belt"
lián,连,"(surname) / even / as / join / to link / successively
to link / to join / to connect / continuously / in succession / including / (used with 也, 都 etc) even / company (military)"
lián,涟,"ripple / tearful
ripple / tearful"
lián,濂,"name of a river in Hunan
name of a river in Hunan"
lián,帘,"wine shop sign
hanging screen or curtain"
lián,莲,"lotus
lotus"
lián,怜,"to pity
to pity"
liàn,敛,"arrange / control oneself / gather
variant of 殮|殓[lian4]"
liǎn,脸,"face
face / CL:張|张[zhang1],個|个[ge4]"
liàn,恋,"feel attached to / long for / love
to feel attached to / to long for / to love"
liàn,殓,"prepare body for coffin
to prepare a dead body for coffin"
liàn,楝,"Melia japonica
Melia japonica"
liàn,练,"to practice / to train / to perfect (one's skill) / to drill
to practice / to train / to drill / to perfect (one's skill) / exercise"
liàn,炼,"refine / smelt, refine
variant of 鏈|链[lian4], chain / variant of 煉|炼[lian4]"
liàn,潋,"full of water / trough
full of water / trough"
liàn,链,"chain / lead or tin ore
chain / cable (unit of length: 100 fathoms, about 185 m) / chain (unit of length: 66 feet, about 20 m) / to chain / to enchain"
liáng,粮,"provisions
grain / food / provisions / agricultural tax paid in grain"
liáng,椋,"fruit
see 椋鳥|椋鸟[liang2 niao3]"
liáng,凉,"cool / cold
to let sth cool down"
liáng,梁,"(surname) / beam of roof / bridge, beam of roof
variant of 梁[liang2]"
liáng,良,"good / very / very much
good / very / very much"
liáng,粱,"sorghum
sorghum"
liàng,量,"to measure, capacity / quantity / amount / to estimate
capacity / quantity / amount / to estimate / abbr. for 量詞|量词[liang4 ci2], classifier (in Chinese grammar) / measure word"
láng,踉,"jump, stagger / sway from side to side
stagger / sway from side to side"
liǎng,魉,"sprite / fairy
sprite / fairy"
liǎng,两,"both / two / ounce / some / a few / tael
two / both / some / a few / tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)"
liàng,辆,"(a measure word for vehicles)
classifier for vehicles"
liàng,亮,"light / bright
bright / clear / resonant / to shine / to show / to reveal"
liàng,谅,"forgive
to show understanding / to excuse / to presume / to expect"
liàng,晾,"to dry in the air
to dry in the air / (fig.) to cold-shoulder"
liāo,撩,"lift up (skirt) / pull up (sleeve), stitch / take / tease
to tease / to provoke / to stir up (emotions)"
liáo,寥,"empty / lonesome / very few
empty / lonesome / very few"
liáo,缭,"lines for a sail / wind round
to wind round / to sew with slanting stitches"
liáo,鹩,"eastern wren
eastern wren"
liǎo,燎,"singe
to singe"
liáo,聊,"to chat / to have a chat / to kill time
to chat / to depend upon (literary) / temporarily / just / slightly"
liáo,辽,"Liaoning / name of a dynasty
short name for Liaoning 遼寧|辽宁[Liao2 ning2] province / Liao or Khitan dynasty (907-1125)"
liáo,疗,"to treat / to cure
to treat / to cure / therapy"
liáo,獠,"fierce / hunt / name of a tribe
fierce / hunt / name of a tribe"
liáo,嘹,"clear sound / cry (of cranes etc.)
clear sound / cry (of cranes etc)"
liáo,寮,"Laos / fellow-official / hut
hut / shack / small window / variant of 僚[liao2]"
liáo,僚,"bureaucrat
bureaucrat / colleague"
diǎo,钌,"ruthenium
ruthenium (chemistry)"
liǎo,蓼,"polygonum / smartweed, luxuriant growth
luxuriant growth"
liào,撂,"to leave (it)
to put down / to leave behind / to throw or knock down / to abandon or discard"
liào,廖,"(surname)
surname Liao"
liào,料,"material / stuff / grain / feed / to expect / to anticipate / to guess
material / stuff / grain / feed / to expect / to anticipate / to guess"
liě,咧,"child's cry, draw back corners of mouth
modal particle expressing exclamation"
liè,列,"to arrange / to line up / row / file / series
to arrange / to line up / row / file / series / column"
liè,裂,"crack / split
to split / to crack / to break open / to rend"
liè,洌,"pure / cleanse
pure / to cleanse"
liè,冽,"cold and raw
cold and raw"
liè,趔,"stumble
stumble"
liè,劣,"inferior
inferior"
liè,烈,"ardent / intense / split / crack / rend
ardent / intense / fierce / stern / upright / to give one's life for a noble cause / exploits / achievements"
liè,躐,"step across
step across"
liè,捩,"tear / twist
tear / twist"
liè,猎,"hunting
hunting"
liè,鬣,"bristles / mane
bristles / mane"
lín,麟,"female unicorn
female unicorn / see 麒麟"
lín,遴,"(surname) / select for appointment
(literary) to select"
lín,鳞,"scales (of fish)
scales (of fish)"
lín,磷,"phosphorus / water in rocks
variant of 磷[lin2]"
lín,嶙,"ranges of hills
ranges of hills"
lín,粼,"clear (as of water)
clear (as of water)"
lín,临,"to face / to overlook / to arrive / to be (just) about to / just before
to face / to overlook / to arrive / to be (just) about to / just before"
lín,霖,"continued rain
continued rain"
lín,辚,"rumbling of wheels
rumbling of wheels"
lín,琳,"gem
gem"
lín,邻,"neighbor / adjacent / close to
variant of 鄰|邻[lin2]"
lín,林,"woods / forest
woods / forest / CL:片[pian4] / circle(s) (i.e. specific group of people) / a collection (of similar things)"
lǐn,廪,"government granary
government granary"
lǐn,檩,"cross-beam / ridge-pole
cross-beam / ridge-pole"
lǐn,懔,"fear
fear"
lǐn,凛,"shiver with cold or fear
cold / to shiver with cold / to tremble with fear / afraid / apprehensive / strict / stern / severe / austere / awe-inspiring / imposing / majestic"
liǎn,膦,"phosphine
phosphine"
lìn,吝,"stingy
variant of 吝[lin4]"
rèn,赁,"to rent
to rent"
lìn,蔺,"juncus effusus
juncus effusus"
lín,淋,"diseases of the bladder / to drain / to drip
to filter / to strain / to drain / gonorrhea / (TCM) strangury"
līng,拎,"to haul / to lift / to take
to lift / to carry in one's hand / Taiwan pr. [ling1]"
líng,绫,"damask / thin silk
damask / thin silk"
líng,龄,"age
age / length of experience, membership etc"
líng,苓,"fungus / tuber
fungus / tuber"
líng,零,"remnant / zero
zero / nought / zero sign / fractional / fragmentary / odd (of numbers) / (placed between two numbers to indicate a smaller quantity followed by a larger one) / fraction / (in mathematics) remainder (after division) / extra / to wither and fall / to wither"
líng,菱,"Trapa natans / water caltrop
variant of 菱[ling2]"
líng,蛉,"sandfly
sandfly"
líng,凌,"encroach / soar / thick ice
to approach / to rise high / thick ice / to insult or maltreat"
líng,瓴,"concave channels of tiling
concave channels of tiling"
líng,柃,"Eurya japonica
Eurya japonica"
líng,棂,"lattice, the lattice of a window a sill, a lintel
variant of 櫺|棂[ling2]"
líng,灵,"alert / departed soul / efficacious / quick / effective / intelligence
quick / alert / efficacious / effective / to come true / spirit / departed soul / coffin"
líng,鲮,"pangolin / Manis pentadactylata
mud carp (Cirrhina molitorella)"
líng,泠,"(surname) / sound of water flowing
sound of water flowing"
líng,聆,"apprehend / hear / listen
to hear / to listen / to understand clearly"
líng,玲,"(used in compounds) / tinkling of gem-pendants
(onom.) ting-a-ling (in compounds such as 玎玲 or 玲瓏|玲珑) / tinkling of gem-pendants"
líng,伶,"clever
clever / (old) actor / actress"
líng,翎,"tail feathers
tail feathers / plume"
líng,酃,"name of a district in Hunan
name of a district in Hunan"
líng,陵,"mound / tomb / hill / mountain
mound / tomb / hill / mountain"
líng,囹,"prison
see 囹圄[ling2 yu3]"
líng,羚,"antelope
antelope"
líng,铃,"(small) bell
(small) bell / CL:隻|只[zhi1]"
líng,呤,"purine in chem. compound / whisper
purine (chemistry) / to whisper"
líng,岭,"mountain range
mountain range / mountain ridge"
lǐng,领,"neck / collar / to lead / to receive
neck / collar / to lead / to receive / classifier for clothes, mats, screens etc"
lìng,另,"other / another / separate / separately
other / another / separate / separately"
lìng,令,"make or cause to be / order / command / decree / honorable
to order / to command / an order / warrant / writ / to cause / to make sth happen / virtuous / honorific title / season / government position (old)"
līu,溜,"slip away / to skate
to slip away / to escape in stealth / to skate"
líu,刘,"(surname) / to kill
surname Liu"
líu,旒,"tassel
tassel"
líu,镏,"lutecium
lutetium (chemistry) (Tw)"
líu,琉,"precious stone
old variant of 琉[liu2]"
líu,留,"leave (message) / to retain / to stay / to remain / to keep / to preserve
old variant of 留[liu2]"
líu,骝,"bay horse with black mane
bay horse with black mane"
líu,流,"to flow / to spread / to circulate / to move
to flow / to disseminate / to circulate or spread / to move or drift / to degenerate / to banish or send into exile / stream of water or sth resembling one / class, rate or grade"
líu,浏,"clear / deep (of water) / swift
clear / deep (of water) / swift"
líu,鎏,"bessemerizing of matte
variant of 鎦|镏[liu2]"
líu,榴,"pomegranate
pomegranate"
líu,硫,"sulfur
sulfur (chemistry)"
líu,瘤,"tumor
old variant of 瘤[liu2]"
lǐu,绺,"skein / tuft / lock
skein / tuft / lock"
lǐu,柳,"willow / Liu (a surname)
old variant of 柳[liu3]"
lìu,六,"six / 6
six / 6"
lìu,馏,"reheat by steaming
to steam / to cook in a steamer / to reheat cold food by steaming it"
líu,遛,"to stroll / walk a horse / to linger
to stroll / to walk (an animal)"
lù,陆,"six (fraud-proof), (surname) / shore / land / continent
shore / land / continent"
lóng,隆,"sound of drums, grand / intense / prosperous / start (a fire)
grand / intense / prosperous / to swell / to bulge"
lóng,龙,"dragon / imperial / Long (a surname)
dragon / CL:條|条[tiao2] / imperial"
lóng,栊,"bar / cage / gratings
bar / cage / gratings"
lóng,咙,"throat
throat"
lóng,窿,"cavity / hole
cavity / hole"
lóng,茏,"Polygonum posumbu
Polygonum posumbu"
lóng,砻,"grind / mill
to grind / to mill"
lóng,聋,"deaf
deaf"
lóng,胧,"rising moon, hazy / unclear
rising moon"
lóng,笼,"basket / cage
to cover / to cage / covering / also pr. [long2]"
lóng,珑,"tinkling of gem-pendants
tinkling of gem-pendants"
lóng,癃,"infirmity / retention of urine
infirmity / retention of urine"
lóng,泷,"torrential (rain), name of a river in Guangdong
rapids / waterfall / torrential (rain)"
lǒng,垄,"monopolize
ridge between fields / row of crops / grave mound"
lǒng,陇,"Gansu
short name for Gansu province 甘肅省|甘肃省[Gan1 su4 Sheng3]"
lǒng,拢,"collect / draw near to
to gather together / to collect / to approach / to draw near to / to add / to sum up / to comb (hair)"
nòng,弄,"lane / alley, to do / to manage / to handle / to play with / to fool with / to mess with / to fix / to toy with
variant of 弄[long4]"
lǒu,搂,"graft (money) / solicit / to gather / to collect, to hug / to embrace
to hug / to embrace / to hold in one's arms"
lóu,耧,"drill for sowing grain
drill for sowing grain"
lóu,髅,"skull
skull"
lóu,蝼,"mole-cricket / Gryllotalpa africona
see 螻蛄|蝼蛄[lou2 gu1]"
lóu,楼,"house with more than 1 story / storied building / floor
house with more than 1 story / storied building / floor / CL:層|层[ceng2],座[zuo4],棟|栋[dong4]"
lóu,蒌,"Arthemisia vulgaris / piper betle
Arthemisia vulgaris / piper betel"
lóu,娄,"(star) / (surname)
surname Lou / one of the 28 lunar mansions in Chinese astronomy"
lou,喽,"subordinates in gang of bandits, (part. expressing chagrin or resentment)
(final particle equivalent to 了[le5]) / (particle calling attention to, or mildly warning of, a situation)"
lv̌,偻,"hunchback
crookbacked"
lǒu,篓,"deep basket
deep basket"
lǒu,嵝,"mountain peak
mountain peak"
lòu,漏,"funnel / to leak / to let out / to divulge
to leak / to divulge / to leave out by mistake / waterclock or hourglass (old)"
lòu,陋,"low / humble / plain / ugly / mean / vulgar
low / humble / plain / ugly / mean / vulgar"
lòu,镂,"engrave / hard steel
to engrave / to carve / hard steel"
lū,噜,"grumble / chatter
grumble / chatter"
lú,颅,"forehead / skull
forehead / skull"
lú,鸬,"fishing cormorant
cormorant"
lú,泸,"name of a river / place name
old name of a river in Jiangxi / place name"
lú,胪,"belly / skin / to state
belly / skin / to state / to pass on information / to display"
lǔ,舻,"bow of ship
bow of ship"
lú,垆,"clay / shop
clay / shop"
lú,鲈,"common perch
common perch / bass"
lú,卢,"(surname)
(old) rice vessel / black / old variant of 廬|庐[lu2] / (slang) (Tw) troublesome / fussy"
lú,栌,"capital (of column) / smoke tree
capital (of column) / smoke tree"
lú,轳,"windlass
windlass"
lú,芦,"rush / reed / Phragmites communis
rush / reed / Phragmites communis"
lú,庐,"hut
hut"
lú,炉,"stove
variant of 爐|炉[lu2]"
lǔ,虏,"take captive
prisoner of war / to capture / to take prisoner / (old) northern barbarian / slave"
lǔ,掳,"take captive
to capture / to seize"
lǔ,鲁,"crass / place name
crass / stupid / rude"
lǔ,卤,"brine / salt / gravy, crass / halogen / salt / brine
alkaline soil / salt / brine / halogen (chemistry) / crass / stupid"
lǔ,橹,"sculling oar
variant of 櫓|橹[lu3]"
lù,麓,"foot of a hill
foot of a hill"
