py,ch,en
qǐ,启,"to open / to start
to open / to start / to initiate / to enlighten or awaken / to state / to inform"
qǐ,綮,embroidered banner
qǐ,乞,"beg
to beg"
qǐ,岂,"how can it be that
how? (emphatic question)"
qǐ,企,"plan a project / stand on tiptoe
to plan a project / to stand on tiptoe / Taiwan pr. [qi4] / abbr. for 企業|企业[qi3 ye4]"
qǐ,芑,Panicum miliaceum
qǐ,起,"to rise / to raise / to get up
to rise / to raise / to get up / to set out / to start / to appear / to launch / to initiate (action) / to draft / to establish / to get (from a depot or counter) / verb suffix, to start / starting from (a time, place, price etc) / classifier for occurrences or unpredictable events: case, instance / classifier for groups: batch, group"
qǐ,杞,"(willow) / name of a feudal state
Chinese wolfberry shrub (Lycium chinense) / willow"
qǐ,绮,beautiful / open-work silk
qì,气,"air / anger / gas, gas / air / smell / weather / vital breath / to make sb. angry / to get angry / to be enraged
gas / air / smell / weather / to make angry / to annoy / to get angry / vital energy / qi"
qì,葺,to repair
qì,弃,to abandon / to relinquish / to discard / to throw away
qì,碛,moraine / rocks in shallow water
qì,泣,to sob
qì,憩,to rest
qì,契,"contract
to carve / carved words / to agree / a contract / a deed"
qì,器,device / tool / utensil / CL:臺|台[tai2]
qì,迄,as yet / until
qì,讫,finished
qì,汽,steam / vapor
qì,汔,near
qì,砌,to build by laying bricks or stones
qiā,掐,"pick (flowers) / to pinch
to pick (flowers) / to pinch / to nip / to pinch off / to clutch / (slang) to fight"
qià,恰,exactly / just
qià,洽,"accord / make contact
accord / to make contact / to agree / to consult with / extensive"
qiān,悭,stingy
qiān,迁,"to move / to shift
to move / to shift / to change (a position or location etc) / to promote"
qiān,搴,"seize
to seize / to pull / to hold up the hem of clothes"
qiān,扦,"graft (tree) / stick in
short slender pointed piece of metal, bamboo etc / skewer / prod used to extract samples from sacks of grain etc / (dialect) to stick in / to bolt (a door) / to arrange (flowers in a vase) / to graft (tree) / to pedicure / to peel (an apple etc)"
qiān,骞,defective / raise
qiān,铅,"lead (metal)
lead (chemistry)"
qiān,愆,"fault / transgression
old variant of 愆[qian1]"
qiān,谦,modest
qiān,牵,"lead along
to lead along / to pull (an animal on a tether) / (bound form) to involve / to draw in"
qiān,千,"thousand, a swing
a swing"
qiān,佥,all
qiān,阡,road leading north and south
qiān,褰,"lift up the skirts / lower garments
to lift (clothes, sheets) / lower garments"
qiān,芊,green / luxuriant growth
qiān,签,"sign one's name, a note / a stick / sign one's name
inscribed bamboo stick (used in divination, gambling, drawing lots etc) / small wood sliver / label / tag"
qiān,仟,"thousand
thousand (banker's anti-fraud numeral)"
qián,箝,pliers / pincers / to clamp
qián,钤,latch of door / seal
qián,黔,"an old name for Guizhou (贵州) province
abbr. for Guizhou province 貴州|贵州[Gui4 zhou1]"
qián,虔,"devout
to act with reverence / reverent"
qián,前,"before / in front / ago / former / previous / earlier / front
front / forward / ahead / first / top (followed by a number) / future / ago / before / BC (e.g. 前293年) / former / formerly"
qián,钳,pincers / pliers / tongs / claw (of animal) / to grasp with pincers / to pinch / to clamp / to restrain / to restrict / to gag
qián,潜,hidden / latent / secret / to hide / to conceal / secret / hidden / to submerge
qián,掮,"carry on shoulders
to carry on the shoulder"
qián,钱,"(surname) / coin / money
coin / money / CL:筆|笔[bi3] / unit of weight, one tenth of a tael 兩|两[liang3]"
qiǎn,缱,attached to / loving
qiǎn,谴,"punishment / scold
to censure / to reprimand"
qiǎn,遣,"dispatch
to dispatch / to send / to dispel"
qiàn,倩,"niece / plagiarize / winsome
pretty / winsome / to ask for sb's help / son-in-law (old)"
qiàn,堑,moat around a city
qiàn,嵌,"deep valley / inlay
to inlay / to embed"
qiàn,椠,wooden tablet / edition
qiàn,茜,"Rubia cordiolia
used in the transliteration of people's names"
qiàn,芡,"Euryale ferox
Gorgon plant / fox nut (Gorgon euryale or Euryale ferox) / makhana (Hindi)"
qiàn,歉,to apologize / to regret / deficient
qiàn,欠,deficient / to owe / to lack / yawn
qiàn,慊,"dissatisfied, contented
contented"
xiān,纤,"boatman's tow-rope, fine / delicate / minute
fine / delicate / minute"
qiāng,枪,"gun / firearm / rifle / spear, rifle / spear
variant of 槍|枪[qiang1] / rifle / spear"
qiāng,锖,the color of a mineral
qiāng,锵,tinkling of small bells
qiāng,羌,"educated / name of a tribe / strong
variant of 羌[qiang1]"
qiāng,蜣,dung beetle
qiāng,腔,"cavity of body / tune
cavity of body / barrel (e.g. engine cylinder) / compartment / tune / accent of speech"
qiāng,镪,"sulfuric acid, money / string of coins
money / string of coins"
qiǎng,抢,"against wind, fight over / to rush / to scramble / to grab / to rob / to snatch"
qiāng,跄,"walk rapidly, stagger / sway from side to side
stagger / sway from side to side"
qiāng,呛,"against wind, choke / pungent
to irritate the nose / to choke (of smoke, smell etc) / pungent / (coll.) (Tw) to shout at sb / to scold / to speak out against sb"
qiáng,嫱,female court officials
qiáng,樯,"boom / mast
variant of 檣|樯[qiang2]"
qiáng,蔷,wild rose
qiáng,墙,"wall
wall / CL:面[mian4],堵[du3]"
qiáng,强,"strength / force / power / powerful / better
variant of 強|强[qiang3]"
jiǎng,襁,cloth for carrying baby on back
qiān,羟,hydroxyl (radical)
qiāo,锹,"shovel / to dig
shovel / spade"
qiāo,敲,"extort / knock / to strike / to knock (at a door) / to hit
to hit / to strike / to tap / to rap / to knock / to rip sb off / to overcharge"
qiāo,硗,stony soil
qiāo,跷,"raise one's foot
variant of 蹺|跷[qiao1] / to raise one's foot / stilts"
què,雀,"lentigo, bird, bird
small bird / sparrow / also pr. [qiao3]"
qiáo,荞,buckwheat
qiáo,侨,emigrant / to reside abroad
qiáo,憔,"haggard
variant of 憔[qiao2]"
qiáo,樵,firewood / gather wood
qiáo,瞧,"look at
to look at / to see / to see (a doctor) / to visit"
qiáo,桥,"bridge
bridge / CL:座[zuo4]"
qiáo,乔,tall
qiáo,翘,"outstanding / to raise
to stick up / to rise on one end / to tilt"
qiáo,谯,"(surname) / drum tower, ridicule / to blame
ridicule / to blame"
qiǎo,愀,change countenance / worry
qiǎo,巧,opportunely / coincidentally / as it happens / skillful / timely
qiǎo,悄,quiet / sad
qiào,诮,ridicule / to blame
qiào,撬,"to lift
to lift / to pry open / to lever open"
qiào,鞘,scabbard / sheath
qiào,峭,"steep hill
variant of 峭[qiao4]"
qiào,窍,"intelligence / opening
hole / opening / orifice (of the human body) / (fig.) key (to the solution of a problem)"
qiào,俏,"smart
good-looking / charming / (of goods) in great demand / (coll.) to season (food)"
qiē,切,"to cut / to slice, close to
definitely / absolutely (not) / (scoffing or dismissive interjection) Yeah, right. / Tut! / to grind / close to / eager / to correspond to / see also 反切[fan3 qie4]"
qié,茄,eggplant
qié,伽,"(phonetic)
traditionally used as phonetic for ga / also pr. [ga1]"
qiě,且,"further / moreover
and / moreover / yet / for the time being / to be about to / both (... and...)"
qiè,挈,"pull out / take family along
to raise / to lift / to take along (e.g. one's family)"
qiè,箧,"portfolio / trunk
chest / box / trunk / suitcase / portfolio"
qiè,妾,"concubine
concubine / I, your servant (deprecatory self-reference for women)"
qiè,惬,cheerful / satisfied
qiè,怯,"afraid / rustic
timid / cowardly / rustic / Taiwan pr. [que4]"
qiè,锲,"cut / to carve
to cut / to carve / to engrave / to chisel / fig. to chisel away at"
qiè,窃,"I beg to presume / steal
to steal / secretly / (humble) I"
qīn,侵,to invade / to encroach / to infringe / to approach
qīn,钦,"royal
to respect / to admire / to venerate / by the emperor himself"
qīn,衾,coverlet / quilt
qīn,亲,"dear / intimate / parent / relation / closely related, parents-in-law of one's offspring
parents-in-law of one's offspring"
qín,勤,"diligent / frequent
variant of 勤[qin2] / industrious / solicitous"
qín,擒,to capture
qín,噙,"hold in the mouth
to hold in (usually refers the mouth or eyes)"
qín,檎,(fruit)
qín,芩,Phragmites japonica
qín,禽,"birds / fowl
generic term for birds and animals / birds / to capture (old)"
qín,螓,small cicada with a square head
qín,琴,"(mus. instr.)
variant of 琴[qin2], guqin or zither"
qín,芹,Chinese celery
qín,秦,"(surname) / name of a dynasty
surname Qin / Qin dynasty (221-207 BC) of the first emperor 秦始皇[Qin2 Shi3 huang2] / abbr. for 陝西|陕西[Shan3 xi1]"
qǐn,寝,"lie down
to lie down"
qìn,揿,to press (bell)
qìn,沁,"name of a river
to seep / to percolate"
qīng,清,"clear / distinct / complete / pure
clear / distinct / quiet / just and honest / pure / to settle or clear up / to clean up or purge"
qīng,轻,light / easy / gentle / soft / reckless / unimportant / frivolous / small in number / unstressed / neutral / to disparage
qīng,青,"green (blue, black)
nature's color / green or blue / greenish black / youth / young (of people)"
qīng,蜻,"dragonfly
see 蜻蜓[qing1 ting2]"
qīng,氢,"hydrogen
hydrogen (chemistry)"
qīng,倾,to overturn / to collapse / to lean / to tend / to incline / to pour out
qīng,卿,"(old) minister / (old) term of endearment between spouses / thou (poet.)
high ranking official (old) / term of endearment between spouses (old) / (from the Tang Dynasty onwards) term used by the emperor for his subjects (old) / honorific (old)"
qīng,鲭,"mackerel / mullet
see 鯖魚|鲭鱼[qing1 yu2]"
qíng,檠,instrument for straightening bows
qíng,擎,to raise (hand)
qíng,黥,"(surname) / tattoo criminals on face
to tattoo criminals on the face or forehead"
qíng,晴,clear / fine (weather)
qíng,情,feeling / emotion / passion / situation
qǐng,请,"to ask / to invite / please (do sth) / to treat (to a meal, etc) / to request"
qǐng,顷,"100 mu / a short while ago / a 'ching' (unit of area) / approx. (with dates) / a short while
unit of area equal to 100 畝|亩[mu3] or 6.67 hectares / a short while / a little while ago / circa. (for approximate dates)"
qìng,罄,"entirely / exhausted / stern
to use up / to exhaust / empty"
qìng,庆,to celebrate
qìng,磬,"musical stone
chime stones, ancient percussion instrument made of stone or jade pieces hung in a row and struck as a xylophone"
qiōng,銎,eye of an axe
qióng,筇,"species of bamboo
(in ancient texts) type of bamboo sometimes used as a staff"
qióng,蛩,anxious / grasshopper / a cricket
qióng,穹,"arched / lofty / vast
vault / dome / the sky"
qióng,跫,"sound of trampling
sound of footsteps"
qióng,琼,"(red stone) / beautiful
jasper / fine jade / beautiful / exquisite (e.g. wine, food) / abbr. for Hainan province"
qióng,穷,"exhausted / poor
poor / destitute / to use up / to exhaust / thoroughly / extremely / (coll.) persistently and pointlessly"
qióng,邛,mound / place name
qióng,茕,alone / desolate
qīu,秋,"autumn / fall / harvest time / a swing, a swing
a swing"
qīu,蚯,earthworm
qīu,丘,"Confucius / given name / mound, earthenware, earthenware vessel
variant of 丘[qiu1] / hillock"
qīu,楸,Catalpa / Mallotus japonicus
qīu,邱,"(surname) / mound
mound"
qīu,鳅,loach
qíu,犰,armadillo
qíu,虬,young dragon with horns
qíu,球,"ball / sphere
ball / sphere / globe / CL:個|个[ge4] / ball game / match / CL:場|场[chang3]"
qíu,逑,collect / to match
qíu,裘,"(surname) / fur / fur coat
fur / fur coat"
qíu,酋,tribal chief
qíu,泅,"submerge / swim under water
to swim"
qíu,求,to seek / to look for / to request / to demand / to beseech
qíu,赇,to bribe
qíu,囚,prisoner
qíu,俅,ornamental cap
qíu,遒,"consolidate / end / strong
strong / vigorous / robust / to draw near / to come to an end"
qíu,蝤,larva / grub
qǐu,糗,"(surname) / dry provisions
dry rations (for a journey) / (dialect) (of noodles etc) to become mush (from overcooking) / (coll.) embarrassing / embarrassment"
qū,岖,rugged
qū,屈,bent / to feel wronged
qū,趋,"to hasten / to hurry / walk fast
to hasten / to hurry / to walk fast / to approach / to tend towards / to converge"
qū,躯,human body
qū,蛐,cricket
qū,祛,"to exercise
sacrifice to drive away calamity / to dispel / to drive away / to remove"
qū,驱,to expel / to urge on / to drive / to run quickly
qū,蛆,maggot
qū,曲,"bent / crooked / wrong, tune / song
yeast / Aspergillus (includes many common molds) / Taiwan pr. [qu2]"
qú,蕖,lotus
qú,磲,Tridacna gigas
qú,劬,labor
qú,衢,thoroughfare
qú,氍,woolen rug
qú,蘧,"(surname) / Dianthus superbus
Dianthus superbus"
qú,朐,surname Qu
qú,鸲,"(mynah)
(bound form, used in the names of birds of various biological families)"
qú,璩,(jade ring) / (surname)
qú,渠,"big / stream or canal / drain / ditch
big / stream or canal / drain / ditch / CL:條|条[tiao2] / him (dialect) / outer rim of a carriage wheel (old)"
qǔ,龋,decayed teeth / dental caries
qǔ,取,to take / to get / to choose / to fetch
qǔ,娶,"take a wife
to take a wife / to marry (a woman)"
qù,趣,interesting / to interest
qù,去,"to go / to leave / to remove
to go / to go to (a place) / (of a time etc) last / just passed / to send / to remove / to get rid of / to reduce / to be apart from in space or time / to die (euphemism) / to play (a part) / (when used either before or after a verb) to go in order to do sth / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation)"
qù,觑,to spy / watch for
qù,阒,"live alone / quiet
quiet / to live alone"
quān,悛,to reform
quán,全,all / whole / entire / every / complete
quán,权,"authority / power / right
authority / power / right / (literary) to weigh / expedient / temporary"
quán,泉,"fountain / spring
spring (small stream) / mouth of a spring / coin (archaic)"
quán,颧,cheek bones
quán,铨,"estimate / select
to estimate / to select"
quán,蜷,"Melania libertina / wriggle (as a worm)
to curl up (like a scroll) / to huddle / Melania libertina / wriggle (as a worm)"
quán,鬈,to curl / curled
quán,拳,"fist
fist / boxing"
quán,诠,"explain / comment
to explain / to comment / to annotate"
quán,筌,bamboo fish trap
quán,荃,(fragrant plant)
quán,醛,aldehyde
quán,痊,to recover (from illness)
quǎn,绻,bound in a league
quǎn,犬,dog
quǎn,畎,field drains
quàn,券,"deed / bond / contract / ticket
variant of 券[quan4]"
quàn,劝,to advise / to urge / to try to persuade / to exhort / to console / to soothe
quē,缺,"lack / scarce / vacant post / to run short of
deficiency / lack / scarce / vacant post / to run short of"
gùi,炔,alkyne
què,阙,"deficiency, (surname) / imperial city
Imperial city watchtower (old) / fault / deficiency"
qué,瘸,lame
què,却,but / yet / however / while / to go back / to decline / to retreat / nevertheless / even though
què,榷,"footbridge / toll, levy / monopoly"
què,确,"authenticated / solid / firm, authenticated / solid / firm / real / true"
què,鹊,magpie
què,悫,honest
què,阕,"section of a song / shut
(literary) to end / to stop / section of a ci poem / classifier for songs or ci poems"
qūn,逡,"shrink from
to shrink back (from sth)"
qún,群,"crowd / flock / group
group / crowd / flock, herd, pack etc"
qún,裙,"skirt
old variant of 裙[qun2]"
rán,然,correct / right / so / thus / like this / -ly
rán,髯,beard / whiskers
rán,燃,"burn / combustion
to burn / to ignite / to light / fig. to spark off (hopes) / to start (debate) / to raise (hopes)"
rǎn,染,"to catch (a disease) / dye
to dye / to catch (a disease) / to acquire (bad habits etc) / to contaminate / to add color washes to a painting"
rǎn,冉,"(surname) / passing (of time)
edge of a tortoiseshell / see 冉冉[ran3 ran3]"
rǎn,苒,luxuriant growth / passing (of time)
ráng,瓤,"pulp of fruit
pulp (of fruit) / sth inside a covering / bad / weak"
ráng,穰,"(surname) / abundant / stalk of grain
abundant / stalk of grain"
ráng,禳,sacrifice for avoiding calamity
rǎng,嚷,to blurt out / to shout
ràng,攘,"throw into confusion
to push up one's sleeves / to reject or resist / to seize / to perturb / to steal"
rǎng,壤,soil / earth
ràng,让,"to ask / to let / permit / have (someone do something) / to yield / to allow
to yield / to permit / to let sb do sth / to have sb do sth / to make sb (feel sad etc) / by (indicates the agent in a passive clause, like 被[bei4])"
ráo,饶,"(surname) / to spare
rich / abundant / exuberant / to add for free / to throw in as bonus / to spare / to forgive / despite / although"
ráo,荛,fuel / grass
rǎo,娆,"graceful, disturbance
graceful"
rǎo,扰,to disturb
rào,绕,"go around / to wind (around)
variant of 繞|绕[rao4], to rotate around / to spiral / to move around / to go round (an obstacle) / to by-pass / to make a detour"
rě,惹,"to provoke / to exasperate / to annoy
to provoke / to irritate / to vex / to stir up / to anger / to attract (troubles) / to cause (problems)"
rě,喏,to salute / make one's curtsy
rè,热,"heat / to heat up / fervent / hot (of weather) / warm up
to warm up / to heat up / hot (of weather) / heat / fervent"
rén,仁,"humane
humane / kernel"
rén,人,"man / person / people / CL:個|个[ge4],位[wei4]"
rén,壬,"9th heavenly stem
ninth of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / ninth in order / letter ""I"" or roman ""IX"" in list ""A, B, C"", or ""I, II, III"" etc / ancient Chinese compass point: 345° / nona"
rěn,荏,"Perilla ocimoides / soft
beefsteak plant (Perilla frutescens) / soft / weak"
rěn,稔,ripe grain
rěn,忍,to bear / to endure / to tolerate / to restrain oneself
rèn,轫,brake
rèn,饪,"cooked food / cook until well done
variant of 飪|饪[ren4]"
rèn,妊,"be pregnant
variant of 妊[ren4]"
rèn,纫,to string / to thread (needle)
rèn,仞,(measure)
rèn,衽,"overlapping part of Chinese gown
variant of 衽[ren4]"
rèn,韧,annealed / pliable but strong / tough / tenacious
rèn,认,to recognize / to know / to admit
rèn,刃,edge of blade
rèn,任,"to assign / to appoint / office / responsibility
to assign / to appoint / to take up a post / office / responsibility / to let / to allow / to give free rein to / no matter (how, what etc) / classifier for the number of terms served in office, post, or rank"
rèn,恁,"that, like this, thus, so, such
old variant of 您[nin2]"
shèn,葚,"fruit of mulberry, fruit of mulberry
fruit of mulberry / also pr. [ren4]"
rēng,扔,"throw
to throw / to throw away"
réng,仍,still / yet / to remain
rì,日,Japan / day / sun / date / day of the month
róng,蓉,"lotus
see 芙蓉[fu2 rong2], lotus / food that has been minced, shredded, or ground into a paste, suitable for stuffing or making a sauce"
róng,榕,banyan tree / Ficus wightiana
róng,融,"harmonious / melt / mild
old variant of 融[rong2]"
róng,茸,confused / fluffy / luxuriant growth
róng,嵘,lofty
róng,戎,"(surname) / weapon
generic term for weapons (old) / army (matters) / military affairs"
róng,绒,velvet / woolen
róng,荣,glory / honor / thriving
róng,蝾,salamander
róng,容,to hold / to contain / to allow / to tolerate / appearance / look / countenance
róng,溶,"dissolve
to dissolve / soluble"
róng,熔,to smelt / to fuse
róng,肜,"(surname)
surname Rong"
rǒng,冗,"extraneous
variant of 冗[rong3]"
róu,鞣,suede / chamois / tannin / to tan
róu,蹂,trample
róu,柔,"soft
soft / flexible / supple / yielding / rho (Greek letter Ρρ)"
róu,揉,"knead / massage / rub
to knead / to massage / to rub"
rǒu,糅,mix
ròu,肉,"meat / flesh
meat / flesh / pulp (of a fruit) / (coll.) (of a fruit) squashy / (of a person) flabby / irresolute"
rú,濡,dilatory / to moisten
rú,儒,scholar / Confucian
rú,薷,Elshotria paltrini
rú,如,"as (if) / such as
as / as if / such as"
rú,嚅,chattering
rú,襦,jacket / short coat
rú,孺,"(surname) / child
child"
rǔ,铷,"rubidium
rubidium (chemistry)"
rú,茹,"eat / rubicene (chem.)
to eat / (extended meaning) to endure / putrid smell / vegetables / roots (inextricably attached to the plant)"
rú,蠕,to squirm / to wiggle / to wriggle / Taiwan pr. [ruan3]
rǔ,辱,"disgrace / insult
disgrace / dishonor / to insult / to bring disgrace or humiliation to / to be indebted to / self-deprecating / Taiwan pr. [ru4]"
rǔ,乳,breast / milk
rǔ,汝,thou
rù,蓐,mat / rushes
rù,缛,adorned / beautiful
rù,褥,mattress
rù,入,"to enter
to enter / to go into / to join / to become a member of / to confirm or agree with / abbr. for 入聲|入声[ru4 sheng1]"
rù,溽,damp / muggy
ruǎn,阮,"Ruan (a surname)
surname Ruan / small state during the Shang Dynasty (1600-1046 BC) located in the southeast of modern-day Gansu Province"
ruǎn,软,"soft / flexible
variant of 軟|软[ruan3]"
ruǎn,朊,protein
rúi,蕤,fringe / overladen with flowers
rǔi,蕊,"stamen / pistil
variant of 蕊[rui3]"
rùi,瑞,lucky / auspicious / propitious / rayl (acoustical unit)
rùi,蚋,(mosquito) / Simulia lugubris / blackfly
rùi,枘,tenon / tool handle / wedge
rùi,睿,astute / perspicacious / farsighted
rùi,锐,acute
rùi,芮,"(surname) / small
small"
rùn,闰,"intercalary
intercalary / an extra day or month inserted into the lunar or solar calendar (such as February 29)"
rùn,润,"smooth / moist
to moisten / to lubricate / to embellish / moist / glossy / sleek"
ruò,箬,(bamboo) / skin of bamboo
ruò,偌,so / such / to such a degree
ruò,弱,"weak / feeble / young / inferior
weak / feeble / young / inferior / (following a decimal or fraction) slightly less than"
ruò,若,to seem / like / as / if
sā,仨,"three (of)
three (colloquial equivalent of 三個|三个)"
sā,撒,"let go, to scatter
to scatter / to sprinkle / to spill"
sǎ,洒,"spill / sprinkle
to sprinkle / to spray / to spill / to shed"
sà,卅,thirty
sà,萨,"(surname) / Bodhisattva
Bodhisattva / surname Sa"
sà,飒,"declining / sound of wind
sound of wind / valiant / melancholy"
sāi,鳃,gills of fish
sāi,腮,"gills / lower part of cheeks
variant of 腮[sai1]"
sāi,塞,"stop up / to squeeze in / to stuff / Serb (abbr.) / Serbian, strategic pass, piston / unenlightened
to stop up / to stuff / to cope with"
sài,赛,"to compete / competition / match
to compete / competition / match / to surpass / better than / superior to / to excel"
sān,三,three / 3
sān,毵,long-haired / shaggy
sǎn,伞,"umbrella / parasol
damask silk / variant of 傘|伞[san3]"
sàn,散,"leisurely / loosen / powdered medicine / to scatter / to come loose, adjourn / scatter
to scatter / to break up (a meeting etc) / to disperse / to disseminate / to dispel / (coll.) to sack"
sān,糁,to mix (of powders)
sāng,桑,"mulberry tree
old variant of 桑[sang1]"
sāng,丧,"mourning / funeral, lose (by death)
to lose sth abstract but important (courage, authority, one's life etc) / to be bereaved of (one's spouse etc) / to die / disappointed / discouraged"
sǎng,磉,stone plinth
sǎng,搡,push back / push over
sǎng,嗓,throat / voice
sǎng,颡,forehead / kowtow
sāo,搔,"disturb / to scratch
to scratch / old variant of 騷|骚[sao1]"
sāo,缫,to reel silk from cocoons
sāo,骚,"have sex appeal
trouble / disturbance / rumpus / flirty / coquettish / abbr. for 離騷|离骚[Li2 Sao1] / literary writings / smell of urine / foul smell / male (animal) (dialect)"
sāo,臊,"smell of urine, bashfulness
shame / bashfulness / to shame / to humiliate"
sāo,艘,"measure word for warships (Taiwan pronunciation), measure word for boats and ships (mainland pronunciation)
classifier for ships / Taiwan pr. [sao1]"
sǎo,嫂,older brother's wife / sister-in-law
sǎo,扫,"to sweep, broom
broom"
sào,埽,"broom / dike
dike / old variant of 掃|扫[sao4]"
sè,瑟,"(mus. instr.)
a type of standing harp, smaller than konghou 箜篌, with 5-25 strings"
sè,啬,stingy
sè,涩,"grating (of surfaces) / tart / acerbic
old variant of 澀|涩[se4]"
sè,穑,gather in harvest
sè,铯,"cesium
cesium (chemistry)"
sè,色,"color / look / appearance, color / dice
color / dice"
sēn,森,forest
sēng,僧,"monk
monk / Sangha, the Buddhist monastic order"
shā,痧,cholera
shā,裟,Buddhist monk's robe
shā,铩,"spear
spear / to cripple (literary)"
shā,沙,granule / hoarse / raspy / sand / powder / CL:粒[li4] / abbr. for Tsar or Tsarist Russia
shā,纱,cotton yarn / muslin
shā,砂,sand / gravel / granule
shā,杀,"to kill / to murder / to slaughter
to kill / to murder / to attack / to weaken or reduce / to smart (dialect) / (used after a verb) extremely"
shā,鲨,shark
shā,煞,"decrease / tighten, baleful / bring to a stop / very
fiend / demon / very / (Tw) SARS (loanword)"
shān,杉,"fir, (pine)
China fir / Cunninghamia lanceolata / also pr. [sha1]"
shā,莎,"(insect) / (phonetic), (grass) / Cyperus rotundus
see 莎草[suo1 cao3] / see 摩莎[mo2 suo1]"
shà,啥,"(dialect) what
dialectal equivalent of 什麼|什么[shen2 me5]"
shǎ,傻,foolish
shà,霎,all of a sudden / drizzle
shà,歃,to drink
shà,厦,"tall building, tall building
tall building / mansion / rear annex / lean-to / also pr. [xia4]"
shāi,筛,to filter / to sift / to sieve
shài,晒,"to sun
(of the sun) to shine on / to bask in (the sunshine) / to dry (clothes, grain etc) in the sun / (fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from ""share"") / (coll.) to give the cold shoulder to"
shān,潸,tearfully
shān,芟,"cut down / mow / scythe
to cut down / to mow / to eliminate / scythe"
shān,删,to delete
shān,煽,to fan into a flame / to incite
shān,姗,"deprecate / lithe (of woman's walk)
to deprecate / lithe (of a woman's walk) / leisurely / slow"
shān,跚,limp
shàn,钐,"samarium
samarium (chemistry)"
shān,衫,"Chinese gown (unlined)
garment / jacket with open slits in place of sleeves"
shān,珊,coral
shān,山,"mountain / hill
mountain / hill / anything that resembles a mountain / CL:座[zuo4] / bundled straw in which silkworms spin cocoons / gable"
shān,苫,straw mat / thatch
shān,舢,sampan
dàn,膻,rank odor (of sheep or goats)
shàn,扇,"to fan, (a measure word for doors, windows, etc.)
fan / sliding, hinged or detachable flat part of sth / classifier for doors, windows etc"
yán,埏,"to mix water with clay, boundary
boundary"
shǎn,闪,"flash / lightning
to dodge / to duck out of the way / to beat it / shaken (by a fall) / to sprain / to pull a muscle / lightning / spark / a flash / to flash (across one's mind) / to leave behind / (Internet slang) (of a display of affection) ""dazzlingly"" saccharine"
shǎn,陕,"Shaanxi
abbr. for Shaanxi 陝西|陕西 province"
shàn,缮,"make a fair copy of
to repair / to mend / to rewrite / to transcribe"
shàn,讪,"abuse / slander
to mock / to ridicule / to slander"
shàn,鳝,Chinese yellow eel
shàn,汕,"Swatow
bamboo fish trap / used in names of places connected with Shantou 汕頭|汕头[Shan4 tou2]"
shàn,膳,"meals
variant of 膳[shan4]"
shàn,善,"good
good (virtuous) / benevolent / well-disposed / good at sth / to improve or perfect"
shàn,鄯,name of a district in Xinjiang
shàn,赡,to support / to provide for
shàn,疝,hernia
shàn,嬗,changes and succession
shàn,擅,"usurp / without authority
without authority / to usurp / to arrogate to oneself / to monopolize / expert in / to be good at"
shàn,骟,to geld
yǎn,剡,"river in Zhejiang, sharp
sharp"
shāng,熵,entropy (physics)
shāng,商,"commerce / consult
commerce / merchant / dealer / to consult / 2nd note in pentatonic scale / quotient (as in 智商[zhi4 shang1], intelligence quotient)"
shāng,殇,"die prematurely
to die in childhood / war dead"
shāng,伤,to injure / injury / wound
shāng,觞,feast / goblet
shǎng,晌,"around noon
part of the day / midday"
shǎng,赏,"enjoy the beauty of / give
to bestow (a reward) / to give (to an inferior) / to hand down / a reward (bestowed by a superior) / to appreciate (beauty)"
shàng,尚,still / yet / to value / to esteem
shàng,上,"on / on top / upon / first (of two parts) / previous or last (week, etc.) / upper / higher / above / previous / to climb / to go into / above / to go up
on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)"
shāo,烧,"to burn / to cook / to stew / to bake / to roast / fever
to burn / to cook / to stew / to bake / to roast / to heat / to boil (tea, water etc) / fever / to run a temperature / (coll.) to let things go to one's head"
shāo,艄,stern of boat
shāo,梢,tip of branch
shāo,稍,"somewhat / a little
see 稍息[shao4 xi1]"
shāo,捎,"bring or take (along)
to bring sth to sb / to deliver"
shāo,筲,basket / bucket
shāo,蛸,"long-legged spider, Octopus octopodia / mantis egg nest
see 螵蛸[piao1 xiao1]"
sháo,芍,"Paeonia albiflora
Chinese peony / Paeonia albiflora or lactiflora"
sháo,韶,(music) / excellent / harmonious
sháo,勺,"spoon
spoon / ladle / CL:把[ba3] / abbr. for 公勺[gong1 shao2], centiliter (unit of volume)"
shǎo,少,"few / little / lack, young
young"
shào,劭,"(surname) / stimulate to effort
stimulate to effort"
shào,绍,"connect / to introduce
to continue / to carry on"
shào,邵,surname Shao / place name
shào,哨,a whistle / sentry
shào,潲,driving rain / to sprinkle
zhào,召,"(surname) / name of an ancient state, to call together / to summon / to convene
to call together / to summon / to convene / temple or monastery (used in place names in Inner Mongolia)"
shē,奢,extravagant
shē,赊,"buy on credit
to buy or sell on credit / distant / long (time) / to forgive"
shé,蛇,snake / serpent / CL:條|条[tiao2]
shé,佘,surname She
shé,舌,tongue
shé,揲,sort out divining stalks
zhé,折,"broken (as of rope, stick), tenth (in price) / to break / to fold / to turn
variant of 折[zhe2] / to fold"
shè,舍,"give up / abandon, residence
residence"
