,ch,py,en
2857,浇,jiao1,to water
2858,灼,zhuo2,brilliant/cauterize
2859,裘,qiu2,(surname)/fur/fur coat
2860,砰,peng1,sound of crashing/thunder
2861,棘,ji2,thorns
2862,橡,xiang4,oak/Quercus serrata
2863,碱,jian3,alkali/soda
2864,聋,long2,deaf
2865,姥,lao3/mu3,"grandma (maternal), governess/old woman"
2866,瑜,yu2,excellence/luster of gems
2867,毋,wu2,no/not
2868,娅,ya4,address term between sons-in-law
2869,沮,ju3,destroy/to stop
2870,萌,meng2,people/sprout
2871,俏,qiao4,smart
2872,黯,an4,deep black/dark
2873,撇,pie1/pie3,"cast away, (downwards-left curved character stroke)/throw"
2874,粟,su4,grain/millet
2875,粪,fen4,manure/dung
2876,尹,yin3,(surname)/to rule
2877,苟,gou3,(surname)/if indeed/thoughtless
2878,癫,dian1,convulsions/crazy
2879,蚂,ma1/ma3/ma4,"dragonfly, ant, grasshopper"
2880,禹,yu3,name of an emperor
2881,廖,liao4,(surname)
2882,俭,jian3,frugal/to be in need
2883,帖,tie1/tie3/tie4,"fit snugly, invitation card/notice, rubbing from incised inscription"
2884,煎,jian1,pan-fry
2885,缕,lu:3/lv3,state in detail/strand/thread
2886,窦,dou4,(surname)/sinus (anatom.)
2887,簇,cu4,crowded/frame work for silkworms/gather foliage/a measure word/bunch
2888,棱,leng2,corner/square beam
2889,叩,kou4,knock
2890,呐,na4/ne/na,"battle cry, (final part.)"
2891,瑶,yao2,(jade)/Yao/mother-of-pearl
2892,墅,shu4,villa
2893,莺,ying1,golden oriole
2894,烫,tang4,to scald/to burn/to iron/hot
2895,蛙,wa1,frog
2896,歹,dai3,bad/wicked/evil
2897,伶,ling2,clever
2898,葱,cong1,scallion/green onion
2899,哮,xiao1,pant/roar/bark (of animals)
2900,眩,xuan4,dizzy/dazzled
2901,坤,kun1,the earth-/female-principle
2902,廓,kuo4,big/empty/open
2903,讳,hui4,avoid mentioning/to taboo
2904,啼,ti2,mourn/to cry/hoof
2905,乍,zha4,for the first time/suddenly
2906,瓣,ban4,petal/section
2907,矫,jiao3,dissemble/rectify
2908,跋,ba2,travel/walk
2909,枉,wang3,in the wrong/in vain
2910,梗,geng3,stem
2911,厕,ce4,rest-room/toilet/lavatory
2912,琢,zhuo2,to cut (gems)
2913,讥,ji1,ridicule
2914,釉,you4,glaze (of porcelain)
2915,窟,ku1,cave/hole
2916,敛,lian3,arrange/control oneself/gather
2917,轼,shi4,crossbar in carriage front
2918,庐,lu2,hut
2919,胚,pei1,fetus
2920,呻,shen1,groan
2921,绰,chuo4/chao1,generous/ample/wide/spacious/well-off
2922,扼,e4,hold (strategic position)
2923,懿,yi4,restrain/virtuous
2924,炯,jiong3,bright/clear
2925,竿,gan1,pole
2926,慷,kang1,generous/magnanimous
2927,虞,yu2,forewarned/peace/worry
2928,锤,chui2,to hammer/weight of steel yard
2929,栓,shuan1,bottle stopper/wooden pin/plug
2930,桨,jiang3,oar/paddle
2931,蚊,wen2,mosquito
2932,磅,bang4/pang2,a measure word/pound (unit of measurement)/scale/weigh
2933,孽,nie4,consequence of sin
2934,惭,can2,ashamed
2935,戳,chuo1,poke/pierce/prick/wooden or rubber stamp or seal
2936,禀,bing3,natural property or endowment/report to (a superior)
2937,鄂,e4/E4,hupeh
2938,馈,kui4,food/make a present
2939,垣,yuan2,wall
2940,溅,jian4,splash
2941,咚,dong1,boom (of a drum)
2942,钙,gai4,calcium
2943,礁,jiao1,reef/shoal rock
2944,彰,zhang1,manifest
2945,豁,hua2/huo1/huo4,"play Chinese finger game, opening/stake all/sacrifice/crack/slit, clear/open/exempt (from)/liberal-minded"
2946,眯,mi1/mi3,"to squint, blind (as with dust)"
2947,磷,lin2,phosphorus/water in rocks
2948,雯,wen2,multicolored clouds
2949,墟,xu1,old burial grounds
2950,迂,yu1,literal-minded
2951,瞻,zhan1,gaze/view
2952,颅,lu2,forehead/skull
2953,琉,liu2,precious stone
2954,悼,dao4,mourn/lament
2955,蝴,hu2,butterfly
2956,拣,jian3,choose/pick up
2957,渺,miao3,vague/remote
2958,眷,juan4,concern/wife and children
2959,悯,min3,sympathize/to pity
2960,汰,tai4,to discard/to eliminate/too
2961,慑,she4,afraid/be feared/to fear/to frighten/to intimidate
2962,婶,shen3,wife of father's younger brother
2963,斐,fei3,(phonetic)/(surname)/elegant
2964,嘘,xu1,exhale/hiss
2965,镶,xiang1,to inlay/to embed/ridge/border
2966,炕,kang4,kang (a heatable brick bed)
2967,宦,huan4,an official
2968,趴,pa1,to lie on one's stomach
2969,绷,beng1/beng3,"to stretch/taut/to tie/to bind, to have a taut face"
2970,窘,jiong3,distressed/embarrassed
2971,襄,xiang1,assist
2972,珀,po4,amber
2973,嚣,xiao1,clamor
2974,拚,pan4/pin1,"disregard/reject, stake all"
2975,酌,zhuo2,consider/pour wine
2976,浊,zhuo2,impure/muddy
2977,毓,yu4,nourish/rear
2978,撼,han4,shake/to incite
2979,嗜,shi4,addicted to/fond of
2980,扛,gang1/kang2,"lift overhead with both hands, carry on one's shoulder"
2981,峭,qiao4,steep hill
2982,磕,ke1,to tap/knock
2983,翘,qiao2/qiao4,outstanding/to raise
2984,槽,cao2,manger/trough/groove
2985,淌,tang3,drip/to shed (tears)
2986,栅,zha4/shan1,fence
2987,颓,tui2,become bald/decadent
2988,熏,xun1,to smoke/scent/fumigate
2989,瑛,ying1,(crystal)/lustrous
2990,颐,yi2,cheeks/nourish
2991,忖,cun3,ponder/consider/guess
2992,牡,mu3,male
2993,徊,huai2,irresolute/move back and forth
2994,梨,li2,pear
2995,肪,fang2,animal fat
2996,涕,ti4,nasal mucus/tears
2997,惫,bei4,exhausted
2998,摹,mo2,imitate/copy
2999,肘,zhou3,elbow/pork shoulder
3000,熔,rong2,to smelt/fuse
3001,挚,zhi4,(surname)/sincere
3002,氯,lu:4/lv4,chlorine
3003,凛,lin3,shiver with cold or fear
3004,绎,yi4,continuous/explain/unravel
3005,庶,shu4,ordinary
3006,脯,fu3/pu2,"candied fruit, chest (thorax)"
3007,迭,die2,alternately/repeatedly
3008,睦,mu4,friendly
3009,窍,qiao4,intelligence/opening
3010,粥,zhou1,congee/gruel/porridge
3011,庵,an1,hut/Buddhist convent/small Buddhist temple
3012,沧,cang1,blue/green(color of water)/cold/vast (of water)
3013,怠,dai4,idle/lazy/negligent/careless
3014,沁,qin4,name of a river
3015,奕,yi4,abundant/graceful
3016,咙,long2,throat
3017,氨,an1,ammonia
3018,矗,chu4,lofty/upright
3019,盔,kui1,helmet
3020,拇,mu3,thumb
3021,沛,pei4,copious/abundant
3022,榻,ta4,couch
3023,揣,chuai1/chuai3,"put into, estimate/guess/figure/surmise"
3024,崭,zhan3,precipitous peak
3025,鞘,qiao4,scabbard/sheath
3026,鞠,ju1,to bring up/to rear/Ju (a surname)
3027,垦,ken3,reclaim (land)
3028,洽,qia4,accord/make contact
3029,唾,tuo4,saliva/spit at
3030,橱,chu2,a wardrobe/case/cabinet
3031,仕,shi4,an official
3032,蜘,zhi1,spider
3033,痰,tan2,phlegm/spittle
3034,袜,wa4,socks/stockings
3035,峙,zhi4,peak/to store
3036,柬,jian3,card/note/letter
3037,蝉,chan2,cicada
3038,蟹,xie4,crab
3039,谏,jian4,admonish
3040,鹃,juan1,cuckoo
3041,擎,qing2,to raise (hand)
3042,皓,hao4,bright/d (19th)/white
3043,朕,zhen4,I/we (imperial use)/subtle
3044,疤,ba1,scar
3045,禺,yu2,(place)/district
3046,铲,chan3,"level off/root up, spade/shovel"
3047,酶,mei2,enzyme/ferment
3048,钝,dun4,blunt/stupid
3049,氓,mang2/meng2,"vagrant/ruffian, people"
3050,匣,xia2,box
3051,弧,hu2,arc
3052,峨,e2,lofty/name of a mountain
3053,锥,zhui1,awl/to bore
3054,揪,jiu1,to clutch
3055,杠,gang1/gang4,"footbridge, carrying pole/horizontal bar"
3056,吭,hang2/keng1,throat
3057,崛,jue2,towering as a peak
3058,诬,wu1,accuse falsely
3059,冉,ran3,(surname)/passing (of time)
3060,抒,shu1,to strain/pour out
3061,庚,geng1,7th heavenly stem/age
3062,悍,han4,violent
3063,靡,mi2/mi3,"wasted, extravagant/go with fashion/not"
3064,晦,hui4,dark/night/unlucky
3065,醋,cu4,vinegar
3066,壕,hao2,air-raid shelter/trench
3067,锯,ju1/ju4,"to mend (china) with staples, a saw/to saw"
3068,夭,yao1,tender/gentle/to die prematurely
3069,咦,yi2,expression of surprise
3070,侈,chi3,extravagant/wasteful/exaggerating
3071,婢,bi4,slave girl/maid servant
3072,猾,hua2,sly
3073,徘,pai2,irresolute
3074,硝,xiao1,saltpeter/to tan (leather)
3075,煽,shan1,fan into a flame/incite
3076,皂,zao4,black
3077,舵,duo4,helm/rudder
3078,嗦,suo1,suck
3079,狈,bei4,a legendary wolf/distressed/wretched
3080,靴,xue1,boots
3081,捂,wu3,"resist, (v) seal up; muffle"
3082,疮,chuang1,sore/skin ulcer
3083,郝,hao3,(surname)/ancient place name
3084,苛,ke1,severe/exacting
3085,秽,hui4,dirt/filth
3086,茜,qian4,Rubia cordiolia
3087,搓,cuo1,to rub or roll between the hands or fingers/to twist
3088,芸,yun2,Ruta graveolens
3089,酱,jiang4,jam/thick sauce
3090,赁,lin4,to rent
3091,檐,yan2,eaves
3092,饷,xiang3,soldier's pay
3093,蕉,jiao1,banana
3094,铀,you2,uranium
3095,苔,tai1/tai2,"coating (of tongue), moss"
3096,赦,she4,to pardon (a convict)
3097,缎,duan4,satin
3098,舷,xian2,sides of boat
3099,筷,kuai4,chopstick
3100,朔,shuo4,beginning/first day of lunar month
3101,婪,lan2,avaricious
3102,紊,wen3/wen4,"involved/tangled/disorder, involved/tangled"
3103,婿,xu4,son-in-law
3104,寥,liao2,empty/lonesome/very few
3105,兢,jing1,to be fearful/apprehensive
3106,糙,cao1,rough/coarse (in texture)
3107,卦,gua4,divinatory trigram
3108,槐,huai2,Sophora japonica
3109,扒,ba1/pa2,"climb/pull (out)/to strip/hold on to/cling to/dig up/rake/push aside, climb/crawl/snatch"
3110,裴,pei2,(surname)
3111,祀,si4,offer sacrifice to
3112,埔,pu3,port
3113,絮,xu4,line with cotton wadding
3114,芭,ba1,a herb/banana
3115,屉,ti4,drawer/tier/tray
3116,痪,huan4,illness/numbness of the limbs
3117,霄,xiao1,firmament/heaven
3118,绽,zhan4,ripped seam
3119,宵,xiao1,night
3120,邑,yi4,city
3121,霖,lin2,continued rain
3122,岔,cha4,branch in a road/astray/diverge
3123,饵,er3,bait/cakes
3124,茄,qie2,eggplant
3125,韧,ren4,annealed/pliable but strong/tough/tenacious
3126,琪,qi2,(white gem)/angel
3127,邹,zou1,(surname)/name of district in Shandong
3128,瑚,hu2,coral
3129,憋,bie1,hold in (urine)/to hold (breath)/to choke/stifle/restrain/hold back
3130,殆,dai4,dangerous/perilous/endanger/almost/probably/only
3131,噜,lu1,grumble/chatter
3132,忒,te4/tui1,excessive/to change
3133,忿,fen4,vehement
3134,衅,xin4,offer blood in sacrifice
3135,淳,chun2,genuine/pure/honest
3136,悖,bei4,perverse/rebellious/to rebel
3137,髦,mao2,bang (hair)/fashionable/mane
3138,孜,zi1,hard-working/industrious
3139,粤,yue4,Cantonese/Guangdong
3140,隘,ai4,a pass or defile/narrow/confined/in distress
3141,濒,bin1,near
3142,铮,zheng1,clang of metals/small gong
3143,畸,ji1,fractional remains/odd
3144,剔,ti1,pick (as teeth)
3145,坞,wu4,dock/low wall
3146,篱,li2,a fence
3147,淀,dian4,"shallow water, sediment/precipitate"
3148,蓦,mo4,leap on or over/suddenly
3149,唬,hu3,intimidate/tiger's roar/to fool
3150,锣,luo2,gong
3151,汀,ting1,sand-bank
3152,趾,zhi3,toe
3153,缉,qi1/ji1,to stitch finely
3154,嫦,chang2,a legendary beauty who flew to the moon/the lady in the moon
3155,斟,zhen1,pour/to deliberate
3156,鞍,an1,saddle
3157,扳,ban1/pan1,"to pull or draw (up or out), climb up/pull"
3158,拴,shuan1,tie up
3159,诅,zu3,curse/swear (oath)
3160,谟,mo2,plan/to practice
3161,呃,e4/e,hiccough
3162,懦,nuo4,imbecile/timid
3163,逞,cheng3,please oneself/presume on/boast
3164,犁,li2,plow
3165,忏,chan4,feel remorse/regret/repent
3166,拧,ning2/ning3/ning4,"to pinch/wring, mistake/to twist, stubborn"
3167,亥,hai4,12th earthly branch/9-11 p.m.
3168,佟,tong2,(surname)
3169,叱,chi4,to scold/shout at/to hoot at
3170,舜,shun4,name of an emperor
3171,绊,ban4,to trip/stumble/hinder
3172,龚,gong1,(surname)
3173,腮,sai1,gills/lower part of cheeks
3174,邸,di3,(surname)/lodging-house
3175,椒,jiao1,pepper
3176,蔚,wei4/yu4,"Artemisia japonica/luxuriant, (surname)/place name"
3177,湛,zhan4,deep/clear (water)
3178,狩,shou4,hunting-dog/imperial tour
3179,眶,kuang4,eye socket
3180,栈,zhan4,warehouse
3181,肮,ang1,"filthy, dirty/filthy"
3182,瀑,bao4/pu4,"shower (rain), waterfall"
3183,渣,zha1,dregs
3184,褂,gua4,coat
3185,叽,ji1,grumble
3186,臀,tun2,butt/buttocks
3187,妞,niu1,little girl
3188,巍,wei1,high/lofty/towering/majestic
3189,疚,jiu4,chronic disease
3190,鲤,li3,carp
3191,戎,rong2,(surname)/weapon
3192,肇,zhao4,at first/devise/originate
3193,笃,du3,serious (illness)/sincere/true
3194,辙,che4/zhe2,"to remove/to withdraw, rut/track"
3195,娴,xian2,elegant/refined
3196,阮,ruan3,Ruan (a surname)
3197,札,zha2,"write down, short note"
3198,懊,ao4,to regret
3199,焘,dao4/tao1,cover over/to envelope
3200,恤,xu4,give relief/sympathy
3201,疹,zhen3,measles/rash
3202,潇,xiao1,river name/sound of rain and wind
3203,铝,lu:3/lv3,aluminum
3204,涤,di2,wash/cleanse
3205,恃,shi4,rely upon
3206,喽,lou2/lou,"subordinates in gang of bandits, (part. expressing chagrin or resentment)"
3207,砌,qi4,to build by laying bricks or stones
3208,遁,dun4,disappear/to escape
3209,楞,leng2,corner/square beam
3210,阱,jing3,hole/pitfall
3211,咎,jiu4,blame
3212,洼,wa1,"winding ditch, depression/sunken/swamp"
3213,炳,bing3,bright/brilliant/luminous
3214,噬,shi4,devour/to bite
3215,枫,feng1,maple
3216,拷,kao3,to beat/to flog/to examine by torture
3217,哆,duo1,quiver/woolen cloth
3218,矶,ji1,breakwater/jetty
3219,苇,wei3,reed/rush/Phragmites communis
3220,翩,pian1,fly fast
3221,窒,zhi4,obstruct/stop up
3222,侬,nong2,you (Shanghai dial.)
3223,靶,ba3,target/mark
3224,胰,yi2,soap
3225,芜,wu2,overgrown with weeds
3226,辫,bian4,a braid or queue/to plait
3227,嚎,hao2,howl/bawl
3228,妾,qie4,concubine
3229,幌,huang3,advertising sign
3230,踉,liang2/liang4,"jump, stagger/sway from side to side"
3231,佃,dian4,farmer
3232,葫,hu2,Allium scorodoprasum/bottle gourd
3233,皖,wan3,Anhui
3234,拽,ye4/zhuai1/zhuai4,"drag, throw, drag"
3235,滤,lu:4/lv4,to strain/to filter
3236,睬,cai3,pay attention/take notice of/to care for
3237,俞,yu2,(surname)/accede
3238,匕,bi1/bi3,"an ancient type of spoon, dagger/ladle"
3239,谤,bang4,to slander/defame/speak ill of
3240,嗤,chi1,laugh at/jeer/scoff at/sneer at
3241,捍,han4,ward off (a blow)
3242,孵,fu1,hatch
3243,倪,ni2,(surname)
3244,瘾,yin3,addiction/craving
3245,敝,bi4,my (polite)/poor/ruined/shabby/worn out/defeated
3246,匡,kuang1,correct
3247,磋,cuo1,deliberate/to polish
3248,绫,ling2,damask/thin silk
3249,尧,yao2,(surname)/emperor Yao
3250,蕊,rui3,stamen/pistil
3251,烘,hong1,bake/heat by fire
3252,璋,zhang1,ancient stone ornament
3253,亢,kang4,overbearing
3254,轧,ya4/zha2,crush/in the first place
3255,赂,lu4,bribe/bribery
3256,蝗,huang2,locust
3257,榆,yu2,elm
3258,骏,jun4,spirited horse
3259,诛,zhu1,execute/punish
3260,勺,shao2,spoon
3261,梵,fan4,Brahma/Sanskrit
3262,炽,chi4,flame/blaze
3263,笠,li4,bamboo rain hat
3264,颌,he2,maxilla and mandible
3265,闸,zha2,gear/watergate
3266,狒,fei4,hamadryad baboon
3267,樊,fan2,(surname)/cage/fence
3268,垢,gou4,dirt/disgrace
3269,瘟,wen1,epidemic/pestilence/plague
3270,缪,miao4/mou2,"(surname), to wind round"
3271,菇,gu1,mushroom
3272,琦,qi2,curio/valuable stone
3273,剃,ti4,"shave, shave/to weed"
3274,迸,beng4,to burst forth/to spurt/to crack/split
3275,溺,ni4/niao4,"drown/indulge/be addicted to/spoil (a child), urinate/urine"
3276,炫,xuan4,"dazzle/to show off, to boast/to show off"
3277,惚,hu1,indistinct
3278,嗨,hai1/hei1,oh alas
3279,陨,yun3,fall/meteor/perish
3280,赃,zang1,booty/spoils
3281,羁,ji1,halter/restrain
3282,臻,zhen1,to reach/utmost
3283,嘀,di2/di1,backbite
3284,膳,shan4,meals
3285,赣,gan4,Jiangxi
3286,踌,chou2,pace back and forth/hesitate/waver
3287,殉,xun4,buried with dead/die for a cause
3288,桔,jie2/ju2,"Platycodon grandiflorus, tangerine"
3289,瞿,ju4/qu2,"startled, (surname)"
3290,闽,min3,(N) abbreviation for Fujian Province
3291,豚,tun2,suckling pig
3292,掺,chan1/shan3,"mix, to grasp"
3293,沌,dun4,confused/turbid
3294,惰,duo4,lazy
3295,喳,cha1/zha1,twitter/chirp
3296,椭,tuo3,ellipse
3297,咪,mi1,sound to call cat
3298,霎,sha4,all of a sudden/drizzle
3299,侃,kan3,bold
3300,猝,cu4,abrupt/hurried
3301,窖,jiao4,cellar
3302,戮,lu4,kill
3303,祠,ci2,ancestral hall/temple
3304,瞩,zhu3,to gaze at/to stare at
3305,菁,jing1,flower of leek
3306,躇,chu2,hesitate
3307,佬,lao3,male/man (Cantonese)
3308,肋,lei4,rib
3309,咄,duo1,"noise of rage, cry out in anger"
3310,忡,chong1,grieved/distressed/sad/uneasy
3311,雍,yong1,(surname)/harmonious
3312,忱,chen2,sincerity/honesty
3313,蕾,lei3,bud
3314,跄,qiang1/qiang4,"walk rapidly, stagger/sway from side to side"
3315,硅,gui1,silicon
3316,伎,ji4,craft
3317,炊,chui1,dress food/to steam/to cook food
3318,钊,zhao1,encourage/to cut/to strain
3319,蝠,fu2,bat
3320,屎,shi3,stool/feces
3321,拭,shi4,wipe
3322,谛,di4,examine/truth (Buddhist)
3323,褪,tun4/tui4,fade/take off (clothes)
3324,丞,cheng2,deputy
3325,卉,hui4,plants
3326,隧,sui4,subterranean/underground passage
3327,茸,rong2,confused/fluffy/luxuriant growth
3328,钳,qian2,pincers/pliers/tongs/claw (of animal)/to grasp with pincers/to pinch/to clamp/to restrain/to restrict/to gag
3329,啃,ken3,to gnaw/to nibble/to bite
3330,伢,ya2,child (collequial)
3331,闺,gui1,women's apartment
3332,舔,tian3,to lick/to lap
3333,蹬,deng4/deng1,step into (as tight shoe)
3334,挛,luan2,twisted/bent/crooked/cramped
3335,眺,tiao4,gaze afar
3336,袱,fu2,bundle wrapped in cloth
3337,陇,long3,Gansu
3338,殴,ou1,brawl
3339,柿,shi4,persimmon
3340,梧,wu2,Sterculia platanifolia
3341,惺,xing1,tranquil/understand
3342,弛,chi2,unstring a bow/slacken/relax/loosen
3343,侥,jiao3/yao2,by mere luck
3344,琛,chen1,precious stone/gem
3345,捅,tong3,poke through
3346,酝,yun4,to brew
3347,薯,shu3,potato/yam
3348,曳,ye4,drag
3349,澈,che4,clear (water)/thorough
3350,锈,xiu4,rust
3351,稠,chou2,dense/crowded/thick/many
3352,眸,mou2,pupil of the eye
3353,咆,pao2,to roar
3354,簧,huang2,metallic reed/spring of lock
3355,鸥,ou1,common gull
3356,疡,yang2,ulcers/sores
3357,渎,du2,ditch/trouble (some one to do)
3358,汲,ji2,draw water from well
3359,嬉,xi1,amusement
3360,脓,nong2,pus
3361,骡,luo2,mule
3362,穗,sui4,ear of grain
3363,槛,jian4/kan3,"bar/railing, door sill/threshold"
3364,拎,ling1/lin1,to haul/to lift/to take
3365,巳,si4,6th earthly branch/9-11 a.m.
3366,邢,xing2,(surname)/place name
3367,廿,nian4,twenty
3368,搀,chan1,assist by the arm/mix/support/sustain
3369,曙,shu3,dawn/the dawn of a new epoch (metaphor)
3370,樵,qiao2,firewood/gather wood
3371,隅,yu2,corner
3372,筛,shai1,to filter/to sift/to sieve
3373,谒,ye4,to visit (a superior)
3374,倭,wo1,Japanese/dwarf
3375,痹,bi4,"paralysis, numbness, numb/paralysis"
3376,猖,chang1,mad/wild
3377,佯,yang2,pretend
3378,肛,gang1,anus
3379,奚,xi1,what why
3380,甭,beng2,need not
3381,抨,peng1,attack/impeach
3382,蛾,e2,moth
3383,唠,lao2/lao4,to chatter
3384,荧,ying2,Polyeonatum officinale/glimmer/glimmering/dazzling/perplexed
3385,嵩,song1,lofty/name of a mountain in Henan
3386,漱,shu4,to rinse (mouth)
3387,酋,qiu2,tribal chief
3388,攘,rang3,throw into confusion
3389,诘,jie2,investigate/restrain/scold
3390,篡,cuan4,to seize/to usurp
3391,睿,rui4,astute/perspicacious/farsighted
3392,噩,e4,startling
3393,怅,chang4,regretful/upset/despair/depressed
3394,盎,ang4,abundant/bowl/dish/pot
3395,徙,xi3,change one's residence
3396,鞅,yang3/yang1,martingale
3397,漓,li2,pattering (of rain)/seep through
3398,祟,sui4,evil spirit
3399,睫,jie2,eyelashes
3400,攸,you1,"distant, far/adverbial prefix"
3401,翎,ling2,tail feathers
3402,呛,qiang1/qiang4,"against wind, choke/pungent"
3403,筐,kuang1,basket
3404,堑,qian4,moat around a city
3405,檀,tan2,sandal wood
3406,寅,yin2,3-5 a.m./3rd earthly branch
3407,磊,lei3,lumpy/rock pile/uneven
3408,驭,yu4,manage/to drive
3409,惘,wang3,desolate
3410,吠,fei4,to bark
3411,驮,duo4/tuo2,"carry on back, carry on back"
3412,瑙,nao3,agate
3413,炬,ju4,torch
3414,痉,jing4,spasm
3415,曝,pu4,to air/to sun
3416,恺,kai3,joyful/kind
3417,胺,an4,amine
3418,萤,ying2,firefly
3419,敕,chi4,imperial orders
3420,筝,zheng1,(mus. instr.)
3421,幡,fan1,banner
3422,霹,pi1,clap of thunder
3423,竺,zhu2,(surname)
3424,烙,lao4,bake/flat iron/large cake
3425,毗,pi2,adjoin/border
3426,鸠,jiu1,turtle-dove/Turtur orientalis
3427,埠,bu4,a jetty/port/a city/quay
3428,蒜,suan4,garlic
3429,阜,fu4,abundant/mound
3430,嘈,cao2,bustling/tumultuous/noisy
3431,乒,ping1,bing (onomat.)
3432,帷,wei2,curtain/screen
3433,啄,zhuo2,to peck
3434,鳌,ao2,sea turtle
3435,毡,zhan1,felt
3436,阙,que1/que4,"deficiency, (surname)/imperial city"
3437,褥,ru4,mattress
3438,搔,sao1,disturb/to scratch
3439,笋,sun3,bamboo shoot
3440,冕,mian3,royal crown
3441,狞,ning2,fierce-looking
3442,韶,shao2,(music)/excellent/harmonious
3443,骼,ge2,skeleton
3444,蔼,ai3,friendly
3445,烹,peng1,cuisine/cooking
3446,奄,yan1/yan3,"castrate/to delay, suddenly/to embrace"
3447,嫖,piao2,visit a prostitute
3448,沐,mu4,bathe/cleanse/receive favors
3449,噗,pu1,sound of escaping laughter/water
3450,岑,cen2,a small hill/(a surname)
3451,蛟,jiao1,scaly dragon
3452,掳,lu3,take captive
3453,咏,yong3,sing
3454,弩,nu3,cross-bow
3455,捻,nian3,twirl (in the fingers)
3456,圃,pu3,garden/orchard
3457,孚,fu2,trust
3458,悴,cui4,haggard/sad/downcast/distressed
3459,诣,yi4,go
3460,呱,gu1/gua1,crying sound of child
3461,祁,qi2,(surname)
3462,捶,chui2,beat with the fist/to hammer/to cudgel
3463,钠,na4,sodium
3464,袄,ao3,coat/jacket/short and lined coat or robe
3465,澎,peng2,sound of waves
3466,氮,dan4,nitrogen
3467,恪,ke4,(surname)/respectful
3468,雏,chu2,chick/young bird
3469,撮,cuo1,bring together/little bit/shovel/gather up/bring together/pick
3470,堰,yan4,weir
3471,彷,pang2,irresolute
3472,鹦,ying1,parrot
3473,晖,hui1,bright/radiant
3474,犀,xi1,rhinoceros
3475,腑,fu3,internal organs
3476,沽,gu1,buy/sell
3477,橄,gan3,olive
3478,掐,qia1,pick (flowers)/to pinch
3479,亵,xie4,licentious
3480,龋,qu3,decayed teeth/dental caries
3481,嗒,ta4/da1,to despair
3482,咀,ju3,chew
3483,祺,qi2,felicity
3484,锚,mao2,anchor
3485,匾,bian3/pian2,"a tablet/a board with an inscription/a sign hung above a door, basket-couch in coffin"
3486,乓,pang1,bang (onomat.)
3487,萃,cui4,collect/collection/dense/grassy/thick/assemble/gather
3488,贻,yi2,bequeath
3489,揖,yi1,greet (by raising the joined hands)
3490,觑,qu4,to spy/watch for
3491,吝,lin4,stingy
3492,憔,qiao2,haggard
3493,羌,qiang1,educated/name of a tribe/strong
3494,诲,hui4,admonish/instruct
3495,砾,li4,gravel/small stone
3496,蠕,ru2,to squirm/to wiggle/to wriggle
3497,肴,yao2,"mixed/viands, meat dishes"
3498,撩,liao1/liao2,"lift up (skirt)/pull up (sleeve), stitch/take/tease"
3499,坍,tan1,collapse
3500,酥,su1,flaky
3501,袅,niao3,delicate/graceful
3502,黝,you3,black/dark green
3503,俾,bi3,to cause/to enable
3504,嫣,yan1,captivating
3505,穹,qiong2,arched/lofty/vast
3506,秧,yang1,shoots/sprouts
3507,妊,ren4,be pregnant
3508,溉,gai4,irrigate
3509,鹊,que4,magpie
3510,聿,yu4,introductory part./pen
3511,疙,ge1,pimple/wart
3512,蘑,mo2,mushroom
3513,睾,gao1,bank/marsh/testicles
3514,楷,kai3,norm/model/(writing)
3515,酵,jiao4,yeast
3516,茹,ru2,eat/rubicene (chem.)
3517,锌,xin1,zinc
3518,滇,dian1,Yunnan
3519,辗,zhan3/nian3,roll over on side/turn half over
3520,纂,zuan3,compile
3521,圭,gui1,jade tablet
3522,幔,man4,curtain
3523,褒,bao1,to praise
3524,揍,zou4,beat up/break to pieces
3525,诽,fei3,slander
3526,倔,jue2/jue4,crabby/tough
3527,腓,fei2,calf of leg/decay/protect
3528,颉,xie2/jie2,(surname)/fly upwards/neck
3529,锄,chu2,a hoe/to hoe or dig/to weed/get rid of
3530,嗔,chen1,to be angry at
3531,磺,huang2,sulfur
3532,攒,cuan2/zan3,"bring together, collect/hoard"
3533,瘩,da2,sore/boil/scab
3534,雳,li4,clap of thunder
3535,吆,yao1,shout
3536,悚,song3,frightened
3537,墩,dun1,block/gate pillar/pier
3538,彝,yi2,normal nature of man/rule
3539,囱,cong1,window/chimney
3540,逍,xiao1,leisurely/easy-going
3541,辄,zhe2,sides of chariot where weapons
3542,桅,wei2,mast
3543,俨,yan3,majestic/dignified
3544,纶,lun2,classify/silk thread/twist silk
3545,悸,ji4,afraid
3546,殃,yang1,calamity
3547,帧,zheng4/zhen1,frame/one of a pair (scrolls)/picture
3548,俐,li4,clever
3549,绮,qi3,beautiful/open-work silk
3550,袒,tan3,to bare
3551,籽,zi3,seeds
3552,孰,shu2,who/which/what
3553,愫,su4,guileless/sincere
3554,拌,ban4,to mix/mix in/to toss (a salad)
3555,橙,cheng2,orange tree/the color orange/orange
3556,暨,ji4,and/reach to/the end
3557,敖,ao2,ramble
3558,赘,zhui4,superfluous
3559,抉,jue2,dig/pick
3560,淤,yu1,silt
3561,剌,la2/la4,"to slash, cruel/obstinate"
3562,娼,chang1,prostitute
3563,顼,xu4/xu1,grieved/anxious
3564,葵,kui2,sunflower
3565,哝,nong2,garrulous
3566,酣,han1,intoxicated
3567,麓,lu4,foot of a hill
3568,钵,bo1,alms bowl/small earthenware basin
